date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-21,CH_SO,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,CH_SO,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,CH_SO,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,CH_SO,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,CH_SO,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CH_SO,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,CH_SO,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,CH_SO,8.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,CH_SO,111.0,119.0,0.0,0.0,106.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,CH_SO,31.0,150.0,0.0,0.0,24.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CH_SO,0.0,150.0,0.0,0.0,0.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,CH_SO,0.0,150.0,0.0,0.0,0.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CH_SO,0.0,150.0,0.0,0.0,0.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CH_SO,0.0,150.0,0.0,0.0,0.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,CH_SO,687.0,837.0,0.0,0.0,697.0,827.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,CH_SO,456.0,1293.0,0.0,0.0,494.0,1321.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,CH_SO,683.0,1976.0,0.0,0.0,704.0,2025.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,CH_SO,531.0,2507.0,0.0,0.0,529.0,2554.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,CH_SO,507.0,3014.0,0.0,0.0,502.0,3056.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CH_SO,708.0,3722.0,1.0,1.0,729.0,3785.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,CH_SO,0.0,3722.0,0.0,1.0,0.0,3785.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,CH_SO,646.0,4368.0,0.0,1.0,653.0,4438.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,CH_SO,700.0,5068.0,0.0,1.0,708.0,5146.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,CH_SO,710.0,5778.0,0.0,1.0,756.0,5902.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,CH_SO,690.0,6468.0,0.0,1.0,707.0,6609.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,CH_SO,448.0,6916.0,0.0,1.0,444.0,7053.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,CH_SO,823.0,7739.0,0.0,1.0,849.0,7902.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,CH_SO,0.0,7739.0,0.0,1.0,0.0,7902.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,CH_SO,744.0,8483.0,0.0,1.0,744.0,8646.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,CH_SO,836.0,9319.0,0.0,1.0,865.0,9511.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,CH_SO,554.0,9873.0,0.0,1.0,535.0,10046.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,CH_SO,560.0,10433.0,138.0,139.0,676.0,10722.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,CH_SO,500.0,10933.0,5.0,144.0,495.0,11217.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,CH_SO,785.0,11718.0,0.0,144.0,793.0,12010.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,CH_SO,0.0,11718.0,0.0,144.0,0.0,12010.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,CH_SO,479.0,12197.0,1.0,145.0,490.0,12500.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,CH_SO,486.0,12683.0,35.0,180.0,521.0,13021.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,CH_SO,456.0,13139.0,20.0,200.0,466.0,13487.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,CH_SO,473.0,13612.0,154.0,354.0,594.0,14081.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,CH_SO,381.0,13993.0,269.0,623.0,650.0,14731.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,CH_SO,415.0,14408.0,337.0,960.0,778.0,15509.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,CH_SO,0.0,14408.0,0.0,960.0,0.0,15509.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,CH_SO,141.0,14549.0,457.0,1417.0,596.0,16105.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,CH_SO,145.0,14694.0,498.0,1915.0,658.0,16763.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,CH_SO,131.0,14825.0,614.0,2529.0,753.0,17516.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,CH_SO,138.0,14963.0,651.0,3180.0,790.0,18306.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,CH_SO,136.0,15099.0,668.0,3848.0,791.0,19097.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,CH_SO,159.0,15258.0,244.0,4092.0,409.0,19506.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,CH_SO,2.0,15260.0,0.0,4092.0,0.0,19506.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,CH_SO,303.0,15563.0,340.0,4432.0,638.0,20144.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,CH_SO,319.0,15882.0,311.0,4743.0,594.0,20738.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,CH_SO,340.0,16222.0,213.0,4956.0,495.0,21233.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,CH_SO,239.0,16461.0,218.0,5174.0,405.0,21638.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,CH_SO,266.0,16727.0,236.0,5410.0,420.0,22058.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,CH_SO,377.0,17104.0,634.0,6044.0,1022.0,23080.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,CH_SO,0.0,17104.0,0.0,6044.0,0.0,23080.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,CH_SO,346.0,17450.0,841.0,6885.0,1148.0,24228.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,CH_SO,364.0,17814.0,683.0,7568.0,997.0,25225.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,CH_SO,148.0,17962.0,702.0,8270.0,855.0,26080.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,CH_SO,157.0,18119.0,987.0,9257.0,1130.0,27210.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,CH_SO,57.0,18176.0,684.0,9941.0,699.0,27909.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,CH_SO,46.0,18222.0,941.0,10882.0,996.0,28905.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,CH_SO,0.0,18222.0,0.0,10882.0,0.0,28905.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,CH_SO,30.0,18252.0,465.0,11347.0,479.0,29384.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,CH_SO,266.0,18518.0,491.0,11838.0,753.0,30137.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,CH_SO,70.0,18588.0,930.0,12768.0,972.0,31109.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,CH_SO,100.0,18688.0,411.0,13179.0,452.0,31561.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,CH_SO,110.0,18798.0,416.0,13595.0,508.0,32069.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,CH_SO,29.0,18827.0,388.0,13983.0,416.0,32485.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,CH_SO,0.0,18827.0,0.0,13983.0,0.0,32485.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,CH_SO,365.0,19192.0,160.0,14143.0,525.0,33010.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,CH_SO,681.0,19873.0,152.0,14295.0,887.0,33897.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,CH_SO,633.0,20506.0,153.0,14448.0,836.0,34733.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,CH_SO,691.0,21197.0,165.0,14613.0,862.0,35595.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,CH_SO,514.0,21711.0,124.0,14737.0,636.0,36231.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,CH_SO,87.0,21798.0,104.0,14841.0,267.0,36498.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,CH_SO,1.0,21799.0,0.0,14841.0,0.0,36498.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,CH_SO,361.0,22160.0,350.0,15191.0,723.0,37221.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,CH_SO,380.0,22540.0,297.0,15488.0,660.0,37881.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,CH_SO,395.0,22935.0,307.0,15795.0,650.0,38531.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,CH_SO,486.0,23421.0,239.0,16034.0,746.0,39277.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,CH_SO,476.0,23897.0,262.0,16296.0,742.0,40019.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,CH_SO,37.0,23934.0,353.0,16649.0,342.0,40361.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,CH_SO,0.0,23934.0,2.0,16651.0,0.0,40361.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,CH_SO,454.0,24388.0,350.0,17001.0,749.0,41110.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,CH_SO,327.0,24715.0,359.0,17360.0,681.0,41791.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,CH_SO,340.0,25055.0,162.0,17522.0,523.0,42314.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,CH_SO,437.0,25492.0,174.0,17696.0,572.0,42886.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,CH_SO,870.0,26362.0,68.0,17764.0,945.0,43831.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,CH_SO,211.0,26573.0,33.0,17797.0,218.0,44049.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,CH_SO,0.0,26573.0,0.0,17797.0,0.0,44049.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,CH_SO,789.0,27362.0,129.0,17926.0,913.0,44962.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,CH_SO,1085.0,28447.0,207.0,18133.0,1268.0,46230.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,CH_SO,1333.0,29780.0,60.0,18193.0,1386.0,47616.0,,,,,,,,,,,,,,,,,,,,,,,,
