date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-12,US_PA,,266288.0,,10591.0,,341948.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,US_PA,19650.0,285938.0,7460.0,18051.0,37996.0,379944.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,US_PA,67883.0,353821.0,0.0,,30470.0,410414.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,US_PA,26906.0,380727.0,48890.0,66941.0,37737.0,448151.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,US_PA,83612.0,464339.0,12585.0,79526.0,96265.0,544416.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,US_PA,18452.0,482791.0,5764.0,85290.0,24244.0,568660.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,US_PA,25600.0,508391.0,11105.0,96395.0,36768.0,605428.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,US_PA,31040.0,539431.0,16297.0,112692.0,47458.0,652886.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,US_PA,32797.0,572228.0,10157.0,122849.0,42984.0,695870.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,US_PA,39131.0,611359.0,9059.0,131908.0,48721.0,744591.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,US_PA,28167.0,639526.0,4031.0,135939.0,32208.0,776799.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,US_PA,18185.0,657711.0,5365.0,141304.0,23555.0,800354.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,US_PA,36020.0,693731.0,15494.0,156798.0,51626.0,851980.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,US_PA,1925.0,695656.0,2461.0,159259.0,4391.0,856371.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,US_PA,81604.0,777260.0,34173.0,193432.0,116371.0,972742.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,US_PA,42629.0,819889.0,16532.0,209964.0,59684.0,1032426.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,US_PA,42132.0,862021.0,13525.0,223489.0,55746.0,1088172.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US_PA,38216.0,900237.0,7772.0,231261.0,46013.0,1134185.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US_PA,15998.0,916235.0,5734.0,236995.0,21760.0,1155945.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US_PA,1262.0,917497.0,881.0,237876.0,2146.0,1158091.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US_PA,41090.0,958587.0,19379.0,257255.0,60644.0,1218735.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US_PA,34489.0,993076.0,18189.0,275444.0,52794.0,1271529.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US_PA,43319.0,1036395.0,23297.0,298741.0,66962.0,1338491.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US_PA,46305.0,1082700.0,22595.0,321336.0,69348.0,1407839.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US_PA,25926.0,1108626.0,7571.0,328907.0,33519.0,1441358.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US_PA,25473.0,1134099.0,11327.0,340234.0,36822.0,1478180.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US_PA,42726.0,1176825.0,16635.0,356869.0,59878.0,1538058.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US_PA,38930.0,1215755.0,17013.0,373882.0,56416.0,1594474.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US_PA,48460.0,1264215.0,25728.0,399610.0,74388.0,1668862.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US_PA,5051.0,1269266.0,4288.0,403898.0,9367.0,1678229.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,US_PA,93984.0,1363250.0,49587.0,453485.0,144098.0,1822327.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,US_PA,,,,,0.0,1822327.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,US_PA,6742.0,1369992.0,3552.0,457037.0,10302.0,1832629.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,US_PA,75146.0,1445138.0,41829.0,498866.0,117556.0,1950185.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,US_PA,33008.0,1478146.0,19419.0,518285.0,52601.0,2002786.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,US_PA,123030.0,1601176.0,58898.0,577183.0,182187.0,2184973.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,US_PA,27505.0,1628681.0,19154.0,596337.0,46827.0,2231800.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,US_PA,39046.0,1667727.0,35661.0,631998.0,75028.0,2306828.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,US_PA,32084.0,1699811.0,22676.0,654674.0,51230.0,2358058.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,US_PA,10568.0,1710379.0,12633.0,667307.0,23021.0,2381079.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,US_PA,0.0,1710379.0,22096.0,689403.0,0.0,2381079.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,US_PA,21592.0,1731971.0,29559.0,718962.0,44350.0,2425429.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,US_PA,72690.0,1804661.0,33886.0,752848.0,137198.0,2562627.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,US_PA,64063.0,1868724.0,47727.0,800575.0,113379.0,2676006.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,US_PA,43120.0,1911844.0,32869.0,833444.0,75838.0,2751844.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,US_PA,44353.0,1956197.0,38370.0,871814.0,83494.0,2835338.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,US_PA,35427.0,1991624.0,17063.0,888877.0,51113.0,2886451.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,US_PA,36101.0,2027725.0,26188.0,915065.0,62130.0,2948581.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,US_PA,52581.0,2080306.0,35014.0,950079.0,87817.0,3036398.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,US_PA,0.0,2080306.0,37946.0,988025.0,0.0,3036398.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,US_PA,176714.0,2257020.0,45467.0,1033492.0,262402.0,3298800.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,US_PA,17205.0,2274225.0,5474.0,1038966.0,20463.0,3319263.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,US_PA,14974.0,2289199.0,4180.0,1043146.0,16329.0,3335592.0,,,,532633.0,,1617446.0,,,,509381.0,,1717341.0,,,,1073.0,,709.0,,,,,,
2021-03-09,US_PA,112249.0,2401448.0,74759.0,1117905.0,188671.0,3524263.0,,,24543.0,557176.0,93744.0,1711190.0,,,50008.0,559389.0,94927.0,1812268.0,,,208.0,1281.0,0.0,709.0,,,,,,
2021-03-10,US_PA,68836.0,2470284.0,44045.0,1161950.0,113751.0,3638014.0,,,15827.0,573003.0,55035.0,1766225.0,,,27728.0,587117.0,58436.0,1870704.0,,,486.0,1767.0,279.0,988.0,,,,,,
2021-03-11,US_PA,60071.0,2530355.0,-1161950.0,0.0,99129.0,3737143.0,,,16870.0,589873.0,55625.0,1821850.0,,,24230.0,611347.0,43050.0,1913754.0,,,856.0,2623.0,453.0,1441.0,,,,,,
2021-03-12,US_PA,17869.0,2548224.0,0.0,0.0,21961.0,3759104.0,,,89.0,589962.0,11309.0,1833159.0,,,5011.0,616358.0,10333.0,1924087.0,,,723.0,3346.0,318.0,1759.0,,,,,,
2021-03-13,US_PA,0.0,2548224.0,1211482.0,1211482.0,0.0,3759104.0,,,1611.0,591573.0,0.0,1833159.0,,,138.0,616496.0,0.0,1924087.0,,,0.0,3346.0,0.0,1759.0,,,,,,
2021-03-14,US_PA,263972.0,2812196.0,167046.0,1378528.0,432194.0,4191298.0,,,93069.0,684642.0,268347.0,2101506.0,,,72527.0,689023.0,163043.0,2087130.0,,,1443.0,4789.0,802.0,2561.0,,,,,,
2021-03-15,US_PA,50761.0,2862957.0,43482.0,1422010.0,92155.0,4283453.0,,,19575.0,704217.0,50287.0,2151793.0,,,23356.0,712379.0,41493.0,2128623.0,,,551.0,5340.0,375.0,2936.0,,,,,,
2021-03-16,US_PA,38800.0,2901757.0,20671.0,1442681.0,57378.0,4340831.0,,,5165.0,709382.0,27063.0,2178856.0,,,14969.0,727348.0,29975.0,2158598.0,,,537.0,5877.0,340.0,3276.0,,,,,,
2021-03-17,US_PA,111171.0,3012928.0,95748.0,1538429.0,150294.0,4491125.0,,,19396.0,728778.0,51193.0,2230049.0,,,18475.0,745823.0,40355.0,2198953.0,,,57875.0,63752.0,58745.0,62021.0,,,,,,
2021-03-18,US_PA,74114.0,3087042.0,42248.0,1580677.0,100562.0,4591687.0,,,14495.0,743273.0,50623.0,2280672.0,,,12983.0,758806.0,35186.0,2234139.0,,,14770.0,78522.0,14751.0,76772.0,,,,,,
2021-03-19,US_PA,17833.0,3104875.0,7248.0,1587925.0,21288.0,4612975.0,,,2392.0,745665.0,12813.0,2293485.0,,,4343.0,763149.0,8166.0,2242305.0,,,509.0,79031.0,309.0,77081.0,,,,,,
2021-03-20,US_PA,19959.0,3124834.0,8905.0,1596830.0,24475.0,4637450.0,,,3179.0,748844.0,13067.0,2306552.0,,,4613.0,767762.0,10474.0,2252779.0,,,1111.0,80142.0,933.0,78014.0,,,,,,
2021-03-21,US_PA,5678.0,3130512.0,2393.0,1599223.0,2521.0,4639971.0,,,1401.0,750245.0,1677.0,2308229.0,,,605.0,768367.0,694.0,2253473.0,,,386.0,80528.0,150.0,78164.0,,,,,,
2021-03-22,US_PA,79331.0,3209843.0,39807.0,1639030.0,108642.0,4748613.0,,,19886.0,770131.0,57504.0,2365733.0,,,9773.0,778140.0,40796.0,2294269.0,,,10148.0,90676.0,10342.0,88506.0,,,,,,
2021-03-23,US_PA,271621.0,3481464.0,143518.0,1782548.0,402386.0,5150999.0,,,69926.0,840057.0,207509.0,2573242.0,,,52041.0,830181.0,173082.0,2467351.0,,,21551.0,112227.0,21794.0,110300.0,,,,,,
2021-03-24,US_PA,97526.0,3578990.0,45485.0,1828033.0,139021.0,5290020.0,,,29958.0,870015.0,86951.0,2660193.0,,,12069.0,842250.0,48602.0,2515953.0,,,3454.0,115681.0,3460.0,113760.0,,,,,,
2021-03-25,US_PA,22395.0,3601385.0,15163.0,1843196.0,35119.0,5325139.0,,,7959.0,877974.0,21732.0,2681925.0,,,6446.0,848696.0,12720.0,2528673.0,,,754.0,116435.0,666.0,114426.0,,,,,,
2021-03-26,US_PA,138116.0,3739501.0,55867.0,1899063.0,191500.0,5516639.0,,,31875.0,909849.0,90233.0,2772158.0,,,21484.0,870180.0,98778.0,2627451.0,,,2504.0,118939.0,2489.0,116915.0,,,,,,
2021-03-27,US_PA,102536.0,3842037.0,55399.0,1954462.0,154291.0,5670930.0,,,34053.0,943902.0,89354.0,2861512.0,,,18270.0,888450.0,61905.0,2689356.0,,,3072.0,122011.0,3031.0,119946.0,,,,,,
2021-03-28,US_PA,75304.0,3917341.0,53175.0,2007637.0,124620.0,5795550.0,,,32655.0,976557.0,72666.0,2934178.0,,,17797.0,906247.0,49311.0,2738667.0,,,2718.0,124729.0,2639.0,122585.0,,,,,,
2021-03-29,US_PA,54556.0,3971897.0,47768.0,2055405.0,97952.0,5893502.0,,,29510.0,1006067.0,56736.0,2990914.0,,,15213.0,921460.0,38160.0,2776827.0,,,3044.0,127773.0,3056.0,125641.0,,,,,,
2021-03-30,US_PA,31275.0,4003172.0,29514.0,2084919.0,54280.0,5947782.0,,,17146.0,1023213.0,35122.0,3026036.0,,,8386.0,929846.0,15245.0,2792072.0,,,3982.0,131755.0,3909.0,129550.0,,,,,,
2021-03-31,US_PA,68238.0,4071410.0,43365.0,2128284.0,108980.0,6056762.0,,,31755.0,1054968.0,72333.0,3098369.0,,,9378.0,939224.0,34556.0,2826628.0,,,2230.0,133985.0,2090.0,131640.0,,,,,,
2021-04-01,US_PA,81749.0,4153159.0,69448.0,2197732.0,145007.0,6201769.0,,,48878.0,1103846.0,85800.0,3184169.0,,,16324.0,955548.0,55037.0,2881665.0,,,4240.0,138225.0,4151.0,135791.0,,,,,,
2021-04-02,US_PA,130328.0,4283487.0,57560.0,2255292.0,182823.0,6384592.0,,,37287.0,1141133.0,114178.0,3298347.0,,,18217.0,973765.0,66811.0,2948476.0,,,2044.0,140269.0,1828.0,137619.0,,,,,,
2021-04-03,US_PA,99952.0,4383439.0,72383.0,2327675.0,166544.0,6551136.0,,,46814.0,1187947.0,107517.0,3405864.0,,,21075.0,994840.0,54884.0,3003360.0,,,4490.0,144759.0,4143.0,141762.0,,,,,,
2021-04-04,US_PA,73753.0,4457192.0,52071.0,2379746.0,118953.0,6670089.0,,,29029.0,1216976.0,71879.0,3477743.0,,,17405.0,1012245.0,41504.0,3044864.0,,,5633.0,150392.0,5567.0,147329.0,,,,,,
2021-04-05,US_PA,48250.0,4505442.0,44415.0,2424161.0,86780.0,6756869.0,,,27986.0,1244962.0,60798.0,3538541.0,,,11430.0,1023675.0,20961.0,3065825.0,,,4999.0,155391.0,5021.0,152350.0,,,,,,
2021-04-06,US_PA,23146.0,4528588.0,24650.0,2448811.0,45763.0,6802632.0,,,15997.0,1260959.0,28960.0,3567501.0,,,6470.0,1030145.0,14679.0,3080504.0,,,2182.0,157573.0,2124.0,154474.0,,,,,,
2021-04-07,US_PA,8949.0,4537537.0,12588.0,2461399.0,16504.0,6819136.0,,,7421.0,1268380.0,10591.0,3578092.0,,,3191.0,1033336.0,4436.0,3084940.0,,,1966.0,159539.0,1464.0,155938.0,,,,,,
2021-04-08,US_PA,15153.0,4552690.0,18299.0,2479698.0,23417.0,6842553.0,,,9599.0,1277979.0,14689.0,3592781.0,,,4296.0,1037632.0,5014.0,3089954.0,,,4398.0,163937.0,3710.0,159648.0,,,,,,
2021-04-09,US_PA,54504.0,4607194.0,32618.0,2512316.0,78119.0,6920672.0,,,15665.0,1293644.0,45831.0,3638612.0,,,11018.0,1048650.0,27589.0,3117543.0,,,5929.0,169866.0,4699.0,164347.0,,,,,,
2021-04-10,US_PA,0.0,4607194.0,0.0,2512316.0,0.0,6920672.0,,,0.0,1293644.0,0.0,3638612.0,,,0.0,1048650.0,0.0,3117543.0,,,0.0,169866.0,0.0,164347.0,,,,,,
2021-04-11,US_PA,319207.0,4926401.0,263336.0,2775652.0,537142.0,7457814.0,,,133828.0,1427472.0,299145.0,3937757.0,,,74602.0,1123252.0,182136.0,3299679.0,,,54903.0,224769.0,55848.0,220195.0,,,,,,
2021-04-12,US_PA,133491.0,5059892.0,136158.0,2911810.0,229476.0,7687290.0,,,60477.0,1487949.0,118940.0,4056697.0,,,37705.0,1160957.0,73507.0,3373186.0,,,37970.0,262739.0,37024.0,257219.0,,,,,,
2021-04-13,US_PA,69325.0,5129217.0,70974.0,2982784.0,124001.0,7811291.0,,,36589.0,1524538.0,75968.0,4132665.0,,,17612.0,1178569.0,31467.0,3404653.0,,,16772.0,279511.0,16566.0,273785.0,,,,,,
2021-04-14,US_PA,75120.0,5204337.0,67574.0,3050358.0,125698.0,7936989.0,,,32824.0,1557362.0,68930.0,4201595.0,,,17901.0,1196470.0,39753.0,3444406.0,,,16848.0,296359.0,17003.0,290788.0,,,,,,
2021-04-15,US_PA,84736.0,5289073.0,70406.0,3120764.0,147450.0,8084439.0,,,37903.0,1595265.0,77566.0,4279161.0,,,25167.0,1221637.0,62556.0,3506962.0,,,7331.0,303690.0,7320.0,298108.0,,,,,,
2021-04-16,US_PA,96688.0,5385761.0,93376.0,3214140.0,165319.0,8249758.0,,,38754.0,1634019.0,82109.0,4361270.0,,,30352.0,1251989.0,58769.0,3565731.0,,,24265.0,327955.0,24435.0,322543.0,,,,,,
2021-04-17,US_PA,75257.0,5461018.0,67870.0,3282010.0,141729.0,8391487.0,,,36067.0,1670086.0,79781.0,4441051.0,,,30924.0,1282913.0,61130.0,3626861.0,,,879.0,328834.0,814.0,323357.0,,,,,,
2021-04-18,US_PA,64156.0,5525174.0,64265.0,3346275.0,126323.0,8517810.0,,,33630.0,1703716.0,75802.0,4516853.0,,,30192.0,1313105.0,50093.0,3676954.0,,,441.0,329275.0,425.0,323782.0,,,,,,
2021-04-19,US_PA,34726.0,5559900.0,40071.0,3386346.0,73806.0,8591616.0,,,21838.0,1725554.0,43723.0,4560576.0,,,18027.0,1331132.0,29898.0,3706852.0,,,206.0,329481.0,185.0,323967.0,,,,,,
2021-04-20,US_PA,0.0,5559900.0,0.0,3386346.0,0.0,8591616.0,,,0.0,1725554.0,0.0,4560576.0,,,0.0,1331132.0,0.0,3706852.0,,,0.0,329481.0,0.0,323967.0,,,,,,
2021-04-21,US_PA,160690.0,5720590.0,119671.0,3506017.0,279744.0,8871360.0,,,69002.0,1794556.0,177597.0,4738173.0,,,49315.0,1380447.0,100856.0,3807708.0,,,1353.0,330834.0,1290.0,325257.0,,,,,,
2021-04-22,US_PA,75649.0,5796239.0,60730.0,3566747.0,135959.0,9007319.0,,,33048.0,1827604.0,77846.0,4816019.0,,,26727.0,1407174.0,57156.0,3864864.0,,,951.0,331785.0,948.0,326205.0,,,,,,
2021-04-23,US_PA,116511.0,5912750.0,117647.0,3684394.0,232234.0,9239553.0,,,64441.0,1892045.0,127403.0,4943422.0,,,50883.0,1458057.0,102525.0,3967389.0,,,2321.0,334106.0,2304.0,328509.0,,,,,,
2021-04-24,US_PA,99163.0,6011913.0,92103.0,3776497.0,191354.0,9430907.0,,,49674.0,1941719.0,107181.0,5050603.0,,,41760.0,1499817.0,83518.0,4050907.0,,,665.0,334771.0,650.0,329159.0,,,,,,
2021-04-25,US_PA,46188.0,6058101.0,51996.0,3828493.0,96879.0,9527786.0,,,27231.0,1968950.0,51192.0,5101795.0,,,23852.0,1523669.0,44772.0,4095679.0,,,908.0,335679.0,907.0,330066.0,,,,,,
2021-04-26,US_PA,45294.0,6103395.0,39966.0,3868459.0,85651.0,9613437.0,,,22051.0,1991001.0,49576.0,5151371.0,,,17869.0,1541538.0,36039.0,4131718.0,,,46.0,335725.0,36.0,330102.0,,,,,,
2021-04-27,US_PA,48070.0,6151465.0,35231.0,3903690.0,83212.0,9696649.0,,,20248.0,2011249.0,50755.0,5202126.0,,,14521.0,1556059.0,31983.0,4163701.0,,,462.0,336187.0,474.0,330576.0,,,,,,
2021-04-28,US_PA,53312.0,6204777.0,52857.0,3956547.0,103553.0,9800202.0,,,27305.0,2038554.0,54665.0,5256791.0,,,22485.0,1578544.0,45753.0,4209454.0,,,3065.0,339252.0,3131.0,333707.0,,,,,,
2021-04-29,US_PA,62783.0,6267560.0,70760.0,4027307.0,131122.0,9931324.0,,,30878.0,2069432.0,64202.0,5320993.0,,,36913.0,1615457.0,63863.0,4273317.0,,,2962.0,342214.0,3053.0,336760.0,,,,,,
2021-04-30,US_PA,59053.0,6326613.0,64734.0,4092041.0,120326.0,10051650.0,,,34693.0,2104125.0,64966.0,5385959.0,,,26280.0,1641737.0,51580.0,4324897.0,,,3758.0,345972.0,3780.0,340540.0,,,,,,
2021-05-01,US_PA,91352.0,6417965.0,99511.0,4191552.0,186978.0,10238628.0,,,50843.0,2154968.0,98069.0,5484028.0,,,43157.0,1684894.0,83272.0,4408169.0,,,5509.0,351481.0,5631.0,346171.0,,,,,,
2021-05-02,US_PA,0.0,6417965.0,0.0,4191552.0,0.0,10238628.0,,,0.0,2154968.0,0.0,5484028.0,,,0.0,1684894.0,0.0,4408169.0,,,0.0,351481.0,0.0,346171.0,,,,,,
2021-05-03,US_PA,61105.0,6479070.0,72768.0,4264320.0,128434.0,10367062.0,,,45619.0,2200587.0,79914.0,5563942.0,,,21553.0,1706447.0,42899.0,4451068.0,,,5595.0,357076.0,5617.0,351788.0,,,,,,
2021-05-04,US_PA,30761.0,6509831.0,43917.0,4308237.0,71025.0,10438087.0,,,26322.0,2226909.0,39979.0,5603921.0,,,13303.0,1719750.0,26645.0,4477713.0,,,4291.0,361367.0,4401.0,356189.0,,,,,,
2021-05-05,US_PA,40946.0,6550777.0,55544.0,4363781.0,92980.0,10531067.0,,,26272.0,2253181.0,48387.0,5652308.0,,,23936.0,1743686.0,39150.0,4516863.0,,,5334.0,366701.0,5437.0,361626.0,,,,,,
2021-05-06,US_PA,50352.0,6601129.0,69519.0,4433300.0,113884.0,10644951.0,,,33732.0,2286913.0,58344.0,5710652.0,,,28004.0,1771690.0,47613.0,4564476.0,,,7781.0,374482.0,7921.0,369547.0,,,,,,
2021-05-07,US_PA,45883.0,6647012.0,73842.0,4507142.0,113592.0,10758543.0,,,39766.0,2326679.0,61025.0,5771677.0,,,28056.0,1799746.0,46528.0,4611004.0,,,6017.0,380499.0,6034.0,375581.0,,,,,,
2021-05-08,US_PA,51495.0,6698507.0,72196.0,4579338.0,119146.0,10877689.0,,,39608.0,2366287.0,62829.0,5834506.0,,,27231.0,1826977.0,50909.0,4661913.0,,,5353.0,385852.0,5405.0,380986.0,,,,,,
2021-05-09,US_PA,29428.0,6727935.0,49748.0,4629086.0,75122.0,10952811.0,,,28773.0,2395060.0,42025.0,5876531.0,,,16874.0,1843851.0,29055.0,4690968.0,,,4099.0,389951.0,4039.0,385025.0,,,,,,
2021-05-10,US_PA,23443.0,6751378.0,33542.0,4662628.0,52385.0,11005196.0,,,20389.0,2415449.0,30739.0,5907270.0,,,8806.0,1852657.0,17297.0,4708265.0,,,4347.0,394298.0,4349.0,389374.0,,,,,,
2021-05-11,US_PA,42565.0,6793943.0,61633.0,4724261.0,100986.0,11106182.0,,,40163.0,2455612.0,63871.0,5971141.0,,,16456.0,1869113.0,32064.0,4740329.0,,,5014.0,399312.0,5051.0,394425.0,,,,,,
2021-05-12,US_PA,26385.0,6820328.0,49817.0,4774078.0,72213.0,11178395.0,,,25759.0,2481371.0,36988.0,6008129.0,,,19332.0,1888445.0,30454.0,4770783.0,,,4724.0,404036.0,4771.0,399196.0,,,,,,
2021-05-13,US_PA,46495.0,6866823.0,68775.0,4842853.0,110571.0,11288966.0,,,29353.0,2510724.0,43978.0,6052107.0,,,33669.0,1922114.0,60757.0,4831540.0,,,5751.0,409787.0,5836.0,405032.0,,,,,,
2021-05-14,US_PA,29937.0,6896760.0,47026.0,4889879.0,73880.0,11362846.0,,,23914.0,2534638.0,39282.0,6091389.0,,,19721.0,1941835.0,31201.0,4862741.0,,,3386.0,413173.0,3393.0,408425.0,,,,,,
2021-05-15,US_PA,43698.0,6940458.0,54579.0,4944458.0,93768.0,11456614.0,,,26677.0,2561315.0,52080.0,6143469.0,,,22523.0,1964358.0,36295.0,4899036.0,,,5376.0,418549.0,5393.0,413818.0,,,,,,
2021-05-16,US_PA,44567.0,6985025.0,56852.0,5001310.0,101228.0,11557842.0,,,30978.0,2592293.0,60708.0,6204177.0,,,20616.0,1984974.0,35221.0,4934257.0,,,5253.0,423802.0,5294.0,419112.0,,,,,,
2021-05-17,US_PA,-80.0,6984945.0,-21.0,5001289.0,0.0,11557842.0,,,-11.0,2592282.0,0.0,6204177.0,,,-9.0,1984965.0,0.0,4934257.0,,,-1.0,423801.0,0.0,419112.0,,,,,,
2021-05-18,US_PA,53776.0,7038721.0,69825.0,5071114.0,118106.0,11675948.0,,,41654.0,2633936.0,75439.0,6279616.0,,,21651.0,2006616.0,36071.0,4970328.0,,,6519.0,430320.0,6595.0,425707.0,,,,,,
2021-05-19,US_PA,51499.0,7090220.0,64054.0,5135168.0,112882.0,11788830.0,,,27858.0,2661794.0,57921.0,6337537.0,,,31401.0,2038017.0,50014.0,5020342.0,,,4791.0,435111.0,4937.0,430644.0,,,,,,
2021-05-20,US_PA,39215.0,7129435.0,48226.0,5183394.0,83392.0,11872222.0,,,22214.0,2684008.0,45477.0,6383014.0,,,21496.0,2059513.0,33396.0,5053738.0,,,4515.0,439626.0,4515.0,435159.0,,,,,,
2021-05-21,US_PA,0.0,7129435.0,0.0,5183394.0,0.0,11872222.0,,,0.0,2684008.0,0.0,6383014.0,,,0.0,2059513.0,0.0,5053738.0,,,0.0,439626.0,0.0,435159.0,,,,,,
2021-05-22,US_PA,99138.0,7228573.0,107127.0,5290521.0,198064.0,12070286.0,,,50646.0,2734654.0,112345.0,6495359.0,,,46448.0,2105961.0,75694.0,5129432.0,,,10031.0,449657.0,10023.0,445182.0,,,,,,
2021-05-23,US_PA,29066.0,7257639.0,35724.0,5326245.0,61070.0,12131356.0,,,14880.0,2749534.0,33467.0,6528826.0,,,17011.0,2122972.0,23835.0,5153267.0,,,3832.0,453489.0,3768.0,448950.0,,,,,,
2021-05-24,US_PA,21245.0,7278884.0,27407.0,5353652.0,45945.0,12177301.0,,,9578.0,2759112.0,22382.0,6551208.0,,,14948.0,2137920.0,20694.0,5173961.0,,,2881.0,456370.0,2869.0,451819.0,,,,,,
2021-05-25,US_PA,17816.0,7296700.0,25040.0,5378692.0,41548.0,12218849.0,,,9955.0,2769067.0,21214.0,6572422.0,,,13161.0,2151081.0,18376.0,5192337.0,,,1924.0,458294.0,1958.0,453777.0,,,,,,
2021-05-26,US_PA,34631.0,7331331.0,39245.0,5417937.0,71681.0,12290530.0,,,16921.0,2785988.0,39706.0,6612128.0,,,18910.0,2169991.0,28610.0,5220947.0,,,3407.0,461701.0,3353.0,457130.0,,,,,,
2021-05-27,US_PA,37570.0,7368901.0,45032.0,5462969.0,79455.0,12369985.0,,,19742.0,2805730.0,43350.0,6655478.0,,,20837.0,2190828.0,31641.0,5252588.0,,,4453.0,466154.0,4463.0,461593.0,,,,,,
2021-05-28,US_PA,34171.0,7403072.0,38752.0,5501721.0,70170.0,12440155.0,,,15139.0,2820869.0,37428.0,6692906.0,,,20151.0,2210979.0,29240.0,5281828.0,,,3461.0,469615.0,3502.0,465095.0,,,,,,
2021-05-29,US_PA,40241.0,7443313.0,43201.0,5544922.0,80985.0,12521140.0,,,17493.0,2838362.0,44568.0,6737474.0,,,22053.0,2233032.0,32777.0,5314605.0,,,3649.0,473264.0,3630.0,468725.0,,,,,,
2021-05-30,US_PA,23459.0,7466772.0,28609.0,5573531.0,50423.0,12571563.0,,,9486.0,2847848.0,24148.0,6761622.0,,,16987.0,2250019.0,24127.0,5338732.0,,,2136.0,475400.0,2148.0,470873.0,,,,,,
