date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-29,AU_ACT,,,6.0,,,0.0,,,
2020-03-30,AU_ACT,,,6.0,,,2.0,,,
2020-03-31,AU_ACT,,,6.0,,,0.0,,,
2020-04-01,AU_ACT,,,9.0,,,0.0,,,
2020-04-02,AU_ACT,,,8.0,,,4.0,,,
2020-04-03,AU_ACT,,,9.0,,,2.0,,,
2020-04-04,AU_ACT,,,13.0,,,2.0,,,
2020-04-05,AU_ACT,,,6.0,,,3.0,,,
2020-04-06,AU_ACT,,,7.0,,,3.0,,,
2020-04-07,AU_ACT,,,6.0,,,3.0,,,
2020-04-08,AU_ACT,,,4.0,,,3.0,,,
2020-04-09,AU_ACT,,,3.0,,,2.0,,,
2020-04-10,AU_ACT,,,4.0,,,2.0,,,
2020-04-11,AU_ACT,,,4.0,,,2.0,,,
2020-04-12,AU_ACT,,,3.0,,,2.0,,,
2020-04-13,AU_ACT,,,3.0,,,2.0,,,
2020-04-14,AU_ACT,,,2.0,,,2.0,,,1.0
2020-04-15,AU_ACT,,,2.0,,,1.0,,,0.0
2020-04-16,AU_ACT,,,2.0,,,1.0,,,0.0
2020-04-17,AU_ACT,,,2.0,,,1.0,,,0.0
2020-04-18,AU_ACT,,,1.0,,,0.0,,,0.0
2020-04-19,AU_ACT,,,0.0,,,0.0,,,0.0
2020-04-20,AU_ACT,,,1.0,,,0.0,,,0.0
2020-04-21,AU_ACT,,,1.0,,,0.0,,,0.0
2020-04-22,AU_ACT,,,1.0,,,0.0,,,0.0
2020-04-23,AU_ACT,,,1.0,,,0.0,,,0.0
2020-04-24,AU_ACT,,,0.0,,,0.0,,,0.0
2020-04-25,AU_ACT,,,1.0,,,1.0,,,0.0
2020-04-26,AU_ACT,,,1.0,,,1.0,,,0.0
2020-04-27,AU_ACT,,,1.0,,,1.0,,,0.0
2020-04-28,AU_ACT,,,0.0,,,0.0,,,0.0
2020-04-29,AU_ACT,,,0.0,,,0.0,,,0.0
2020-04-30,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-01,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-02,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-03,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-04,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-05,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-06,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-07,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-08,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-09,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-10,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-11,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-12,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-13,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-14,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-15,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-16,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-17,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-18,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-19,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-20,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-21,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-22,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-23,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-24,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-25,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-26,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-27,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-28,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-29,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-30,AU_ACT,,,0.0,,,0.0,,,0.0
2020-05-31,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-01,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-02,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-03,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-04,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-05,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-06,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-07,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-08,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-09,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-10,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-11,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-12,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-13,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-14,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-15,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-16,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-17,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-18,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-19,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-20,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-21,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-22,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-23,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-24,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-25,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-26,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-27,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-28,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-29,AU_ACT,,,0.0,,,0.0,,,0.0
2020-06-30,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-01,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-02,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-03,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-04,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-05,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-06,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-07,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-08,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-09,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-10,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-11,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-12,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-13,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-14,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-15,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-16,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-17,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-18,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-19,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-20,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-21,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-22,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-23,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-24,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-25,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-26,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-27,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-28,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-29,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-30,AU_ACT,,,0.0,,,0.0,,,0.0
2020-07-31,AU_ACT,,,0.0,,,0.0,,,0.0
2020-08-01,AU_ACT,,,0.0,,,0.0,,,0.0
2020-08-02,AU_ACT,,,0.0,,,0.0,,,0.0
2020-08-03,AU_ACT,,,0.0,,,0.0,,,0.0
2020-08-04,AU_ACT,,,0.0,,,0.0,,,0.0
2020-08-05,AU_ACT,,,0.0,,,0.0,,,0.0
2020-08-06,AU_ACT,,,0.0,,,0.0,,,0.0
2020-08-07,AU_ACT,,,0.0,,,0.0,,,0.0
