date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-16,US_VI,0.0,,,,,,,,
2020-03-17,US_VI,0.0,,,,,,,,
2020-03-18,US_VI,0.0,,,,,,,,
2020-03-19,US_VI,0.0,,,,,,,,
2020-03-20,US_VI,0.0,,,,,,,,
2020-03-21,US_VI,0.0,,,,,,,,
2020-03-22,US_VI,0.0,,,,,,,,
2020-03-23,US_VI,0.0,,,,,,,,
2020-03-24,US_VI,0.0,,,,,,,,
2020-03-25,US_VI,0.0,,,,,,,,
2020-03-26,US_VI,0.0,,,,,,,,
2020-03-27,US_VI,0.0,,,,,,,,
2020-03-28,US_VI,0.0,,,,,,,,
2020-03-29,US_VI,0.0,,,,,,,,
2020-03-30,US_VI,0.0,,,,,,,,
2020-03-31,US_VI,0.0,,,,,,,,
2020-04-01,US_VI,0.0,,,,,,,,
2020-04-02,US_VI,0.0,,,,,,,,
2020-04-03,US_VI,0.0,,,,,,,,
2020-04-04,US_VI,0.0,,,,,,,,
2020-04-05,US_VI,0.0,,,,,,,,
2020-04-06,US_VI,0.0,,,,,,,,
2020-04-07,US_VI,0.0,,,,,,,,
2020-04-08,US_VI,0.0,,,,,,,,
2020-04-09,US_VI,0.0,,,,,,,,
2020-04-10,US_VI,0.0,,3.0,,,,,,
2020-04-11,US_VI,0.0,,3.0,,,,,,
2020-04-12,US_VI,0.0,,3.0,,,,,,
2020-04-13,US_VI,0.0,,,,,,,,
2020-04-14,US_VI,0.0,,,,,,,,
2020-04-15,US_VI,0.0,,,,,,,,
2020-04-16,US_VI,0.0,,,,,,,,
2020-04-17,US_VI,0.0,,,,,,,,
2020-04-18,US_VI,0.0,,,,,,,,
2020-04-19,US_VI,0.0,,,,,,,,
2020-04-20,US_VI,0.0,,,,,,,,
2020-04-21,US_VI,0.0,,,,,,,,
2020-04-22,US_VI,0.0,,,,,,,,
2020-04-23,US_VI,0.0,,,,,,,,
2020-04-24,US_VI,0.0,,,,,,,,
2020-04-25,US_VI,0.0,,,,,,,,
2020-04-26,US_VI,0.0,,,,,,,,
2020-04-27,US_VI,0.0,,,,,,,,
2020-04-28,US_VI,0.0,,,,,,,,
2020-04-29,US_VI,0.0,,,,,,,,
2020-04-30,US_VI,0.0,,,,,,,,
2020-05-01,US_VI,0.0,,,,,,,,
2020-05-02,US_VI,0.0,,,,,,,,
2020-05-03,US_VI,0.0,,,,,,,,
2020-05-04,US_VI,0.0,,,,,,,,
2020-05-05,US_VI,0.0,,,,,,,,
2020-05-06,US_VI,0.0,,,,,,,,
2020-05-07,US_VI,0.0,,,,,,,,
2020-05-08,US_VI,0.0,,,,,,,,
2020-05-09,US_VI,0.0,,,,,,,,
2020-05-10,US_VI,0.0,,,,,,,,
2020-05-11,US_VI,0.0,,,,,,,,
2020-05-12,US_VI,0.0,,,,,,,,
2020-05-13,US_VI,0.0,,,,,,,,
2020-05-14,US_VI,0.0,,,,,,,,
2020-05-15,US_VI,0.0,,,,,,,,
2020-05-16,US_VI,0.0,,,,,,,,
2020-05-17,US_VI,0.0,,,,,,,,
2020-05-18,US_VI,0.0,,,,,,,,
2020-05-19,US_VI,0.0,,,,,,,,
2020-05-20,US_VI,0.0,,,,,,,,
2020-05-21,US_VI,0.0,,,,,,,,
2020-05-22,US_VI,0.0,,,,,,,,
2020-05-23,US_VI,0.0,,,,,,,,
2020-05-24,US_VI,0.0,,,,,,,,
2020-05-25,US_VI,0.0,,,,,,,,
2020-05-26,US_VI,0.0,,,,,,,,
2020-05-27,US_VI,0.0,,,,,,,,
2020-05-28,US_VI,0.0,,,,,,,,
2020-05-29,US_VI,0.0,,,,,,,,
2020-05-30,US_VI,0.0,,,,,,,,
2020-05-31,US_VI,0.0,,,,,,,,
2020-06-01,US_VI,0.0,,,,,,,,
2020-06-02,US_VI,0.0,,,,,,,,
2020-06-03,US_VI,0.0,,,,,,,,
2020-06-04,US_VI,0.0,,,,,,,,
2020-06-05,US_VI,0.0,,,,,,,,
2020-06-06,US_VI,0.0,,,,,,,,
2020-06-07,US_VI,0.0,,,,,,,,
2020-06-08,US_VI,0.0,,,,,,,,
2020-06-09,US_VI,0.0,,,,,,,,
2020-06-10,US_VI,0.0,,,,,,,,
2020-06-11,US_VI,0.0,,,,,,,,
2020-06-12,US_VI,0.0,,,,,,,,
2020-06-13,US_VI,0.0,,,,,,,,
2020-06-14,US_VI,0.0,,,,,,,,
2020-06-15,US_VI,0.0,,,,,,,,
2020-06-16,US_VI,0.0,,,,,,,,
2020-06-17,US_VI,0.0,,,,,,,,
2020-06-18,US_VI,0.0,,,,,,,,
2020-06-19,US_VI,0.0,,,,,,,,
2020-06-20,US_VI,0.0,,,,,,,,
2020-06-21,US_VI,0.0,,,,,,,,
2020-06-22,US_VI,0.0,,,,,,,,
2020-06-23,US_VI,0.0,,,,,,,,
2020-06-24,US_VI,0.0,,,,,,,,
2020-06-25,US_VI,0.0,,,,,,,,
2020-06-26,US_VI,0.0,,,,,,,,
2020-06-27,US_VI,0.0,,,,,,,,
2020-06-28,US_VI,0.0,,,,,,,,
2020-06-29,US_VI,0.0,,,,,,,,
2020-06-30,US_VI,0.0,,,,,,,,
2020-07-01,US_VI,0.0,,,,,,,,
2020-07-02,US_VI,0.0,,,,,,,,
2020-07-03,US_VI,0.0,,,,,,,,
2020-07-04,US_VI,0.0,,,,,,,,
2020-07-05,US_VI,0.0,,,,,,,,
2020-07-06,US_VI,0.0,,,,,,,,
2020-07-07,US_VI,0.0,,,,,,,,
2020-07-08,US_VI,0.0,,,,,2.0,,,
2020-07-09,US_VI,0.0,,,,,2.0,,,
2020-07-10,US_VI,0.0,,,,,3.0,,,
2020-07-11,US_VI,0.0,,,,,1.0,,,
