date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-06,US_IA,0.0,,,,,,,,
2020-03-07,US_IA,0.0,,,,,,,,
2020-03-08,US_IA,0.0,,,,,,,,
2020-03-09,US_IA,0.0,,,,,,,,
2020-03-10,US_IA,0.0,,,,,,,,
2020-03-11,US_IA,0.0,,,,,,,,
2020-03-12,US_IA,0.0,,,,,,,,
2020-03-13,US_IA,0.0,,,,,,,,
2020-03-14,US_IA,0.0,,,,,,,,
2020-03-15,US_IA,0.0,,,,,,,,
2020-03-16,US_IA,0.0,,,,,,,,
2020-03-17,US_IA,0.0,,,,,,,,
2020-03-18,US_IA,0.0,,,,,,,,
2020-03-19,US_IA,0.0,,,,,,,,
2020-03-20,US_IA,0.0,,,,,,,,
2020-03-21,US_IA,0.0,,,,,,,,
2020-03-22,US_IA,0.0,,,,,,,,
2020-03-23,US_IA,0.0,,,,,,,,
2020-03-24,US_IA,27.0,27.0,,,,,,,
2020-03-25,US_IA,9.0,36.0,23.0,,,,,,
2020-03-26,US_IA,10.0,46.0,31.0,,,,,,
2020-03-27,US_IA,4.0,50.0,32.0,,,,,,
2020-03-28,US_IA,11.0,61.0,46.0,,,,,,
2020-03-29,US_IA,7.0,68.0,51.0,,,,,,
2020-03-30,US_IA,6.0,74.0,51.0,,,,,,
2020-03-31,US_IA,20.0,94.0,61.0,,,,,,
2020-04-01,US_IA,5.0,99.0,63.0,,,,,,
2020-04-02,US_IA,21.0,120.0,74.0,,,,,,
2020-04-03,US_IA,18.0,138.0,80.0,,,,,,
2020-04-04,US_IA,15.0,153.0,85.0,,,,,,
2020-04-05,US_IA,12.0,165.0,91.0,,,,,,
2020-04-06,US_IA,14.0,179.0,99.0,,,,,,
2020-04-07,US_IA,14.0,193.0,104.0,,,,,,
2020-04-08,US_IA,0.0,193.0,122.0,,,,,,
2020-04-09,US_IA,-193.0,,122.0,,,45.0,,,
2020-04-10,US_IA,0.0,,125.0,,,44.0,,,30.0
2020-04-11,US_IA,0.0,,118.0,,,51.0,,,30.0
2020-04-12,US_IA,0.0,,129.0,,,54.0,,,30.0
2020-04-13,US_IA,0.0,,142.0,,,53.0,,,41.0
2020-04-14,US_IA,0.0,,163.0,,,59.0,,,41.0
2020-04-15,US_IA,0.0,,171.0,,,61.0,,,43.0
2020-04-16,US_IA,0.0,,175.0,,,56.0,,,48.0
2020-04-17,US_IA,0.0,,183.0,,,52.0,,,52.0
2020-04-18,US_IA,0.0,,193.0,,,52.0,,,51.0
2020-04-19,US_IA,0.0,,198.0,,,52.0,,,54.0
2020-04-20,US_IA,0.0,,214.0,,,91.0,,,58.0
2020-04-21,US_IA,0.0,,214.0,,,89.0,,,60.0
2020-04-22,US_IA,0.0,,272.0,,,92.0,,,57.0
2020-04-23,US_IA,0.0,,282.0,,,102.0,,,55.0
2020-04-24,US_IA,0.0,,278.0,,,104.0,,,60.0
2020-04-25,US_IA,0.0,,293.0,,,108.0,,,60.0
2020-04-26,US_IA,0.0,,286.0,,,99.0,,,55.0
2020-04-27,US_IA,0.0,,300.0,,,100.0,,,58.0
2020-04-28,US_IA,0.0,,304.0,,,98.0,,,64.0
2020-04-29,US_IA,0.0,,323.0,,,100.0,,,74.0
2020-04-30,US_IA,0.0,,335.0,,,121.0,,,86.0
2020-05-01,US_IA,0.0,,345.0,,,121.0,,,91.0
2020-05-02,US_IA,0.0,,353.0,,,30.0,,,90.0
2020-05-03,US_IA,0.0,,378.0,,,32.0,,,93.0
2020-05-04,US_IA,0.0,,389.0,,,30.0,,,93.0
2020-05-05,US_IA,0.0,,407.0,,,27.0,,,94.0
2020-05-06,US_IA,0.0,,414.0,,,26.0,,,103.0
2020-05-07,US_IA,0.0,,417.0,,,31.0,,,107.0
2020-05-08,US_IA,0.0,,407.0,,,28.0,,,109.0
2020-05-09,US_IA,0.0,,402.0,,,24.0,,,106.0
2020-05-10,US_IA,0.0,,413.0,,,28.0,,,105.0
2020-05-11,US_IA,0.0,,394.0,,,27.0,,,107.0
2020-05-12,US_IA,0.0,,385.0,,,26.0,,,101.0
2020-05-13,US_IA,0.0,,388.0,,,25.0,,,101.0
2020-05-14,US_IA,0.0,,405.0,,,28.0,,,93.0
2020-05-15,US_IA,0.0,,387.0,,,28.0,,,87.0
2020-05-16,US_IA,0.0,,387.0,,,25.0,,,83.0
2020-05-17,US_IA,0.0,,376.0,,,19.0,,,85.0
2020-05-18,US_IA,0.0,,382.0,,,25.0,,,85.0
2020-05-19,US_IA,0.0,,383.0,,,29.0,,,83.0
2020-05-20,US_IA,0.0,,381.0,,,28.0,,,84.0
2020-05-21,US_IA,0.0,,376.0,,,29.0,,,80.0
2020-05-22,US_IA,0.0,,362.0,,,30.0,,,79.0
2020-05-23,US_IA,0.0,,362.0,,,25.0,,,70.0
2020-05-24,US_IA,0.0,,363.0,,,25.0,,,61.0
2020-05-25,US_IA,0.0,,377.0,,,25.0,,,66.0
2020-05-26,US_IA,0.0,,379.0,,,25.0,,,65.0
2020-05-27,US_IA,0.0,,393.0,,,0.0,,,66.0
2020-05-28,US_IA,0.0,,383.0,,,0.0,,,67.0
2020-05-29,US_IA,0.0,,376.0,,,2.0,,,78.0
2020-05-30,US_IA,0.0,,368.0,,,3.0,,,69.0
2020-05-31,US_IA,0.0,,341.0,,,3.0,,,70.0
2020-06-01,US_IA,0.0,,339.0,,,3.0,,,73.0
2020-06-02,US_IA,0.0,,327.0,,,4.0,,,76.0
2020-06-03,US_IA,0.0,,314.0,,,4.0,,,76.0
2020-06-04,US_IA,0.0,,310.0,,,1.0,,,70.0
2020-06-05,US_IA,0.0,,299.0,,,1.0,,,62.0
2020-06-06,US_IA,0.0,,299.0,,,1.0,,,62.0
2020-06-07,US_IA,0.0,,269.0,,,1.0,,,54.0
2020-06-08,US_IA,0.0,,265.0,,,1.0,,,53.0
2020-06-09,US_IA,0.0,,255.0,,,1.0,,,51.0
2020-06-10,US_IA,0.0,,245.0,,,1.0,,,49.0
2020-06-11,US_IA,0.0,,242.0,,,1.0,,,48.0
2020-06-12,US_IA,0.0,,225.0,,,13.0,,,47.0
2020-06-13,US_IA,0.0,,200.0,,,10.0,,,43.0
2020-06-14,US_IA,0.0,,203.0,,,11.0,,,47.0
2020-06-15,US_IA,0.0,,197.0,,,2.0,,,51.0
2020-06-16,US_IA,0.0,,193.0,,,2.0,,,49.0
2020-06-17,US_IA,0.0,,188.0,,,2.0,,,47.0
2020-06-18,US_IA,0.0,,188.0,,,1.0,,,47.0
2020-06-19,US_IA,0.0,,197.0,,,11.0,,,37.0
2020-06-20,US_IA,0.0,,182.0,,,10.0,,,30.0
2020-06-21,US_IA,0.0,,170.0,,,10.0,,,27.0
2020-06-22,US_IA,0.0,,169.0,,,9.0,,,28.0
2020-06-23,US_IA,0.0,,163.0,,,21.0,,,26.0
2020-06-24,US_IA,0.0,,140.0,,,5.0,,,25.0
2020-06-25,US_IA,0.0,,137.0,,,7.0,,,26.0
2020-06-26,US_IA,0.0,,141.0,,,7.0,,,24.0
2020-06-27,US_IA,0.0,,131.0,,,9.0,,,22.0
2020-06-28,US_IA,0.0,,118.0,,,8.0,,,18.0
2020-06-29,US_IA,0.0,,119.0,,,9.0,,,18.0
2020-06-30,US_IA,0.0,,133.0,,,9.0,,,20.0
2020-07-01,US_IA,0.0,,149.0,,,3.0,,,21.0
2020-07-02,US_IA,0.0,,145.0,,,0.0,,,18.0
2020-07-03,US_IA,0.0,,146.0,,,0.0,,,20.0
2020-07-04,US_IA,0.0,,134.0,,,10.0,,,16.0
2020-07-05,US_IA,0.0,,141.0,,,9.0,,,16.0
2020-07-06,US_IA,0.0,,151.0,,,11.0,,,15.0
2020-07-07,US_IA,0.0,,165.0,,,12.0,,,20.0
2020-07-08,US_IA,0.0,,165.0,,,13.0,,,23.0
2020-07-09,US_IA,0.0,,168.0,,,15.0,,,22.0
2020-07-10,US_IA,0.0,,169.0,,,18.0,,,26.0
