date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-22,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,US_AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
