date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-02-27,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-02-28,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-02-29,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-01,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-02,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-03,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-04,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-05,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-06,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-07,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-08,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-09,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-10,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-11,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-12,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-13,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-14,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-15,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-16,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-17,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-18,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-19,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-20,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-21,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-22,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-23,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-24,MX_GRO,0.0,0.0,,0.0,0.0,,,,
2020-03-25,MX_GRO,1.0,1.0,,0.0,0.0,,,,
2020-03-26,MX_GRO,2.0,3.0,,1.0,1.0,,,,
2020-03-27,MX_GRO,1.0,4.0,,0.0,1.0,,,,
2020-03-28,MX_GRO,2.0,6.0,,0.0,1.0,,,,
2020-03-29,MX_GRO,0.0,6.0,,0.0,1.0,,,,
2020-03-30,MX_GRO,1.0,7.0,,0.0,1.0,,,,
2020-03-31,MX_GRO,2.0,9.0,,2.0,3.0,,,,
2020-04-01,MX_GRO,1.0,10.0,,0.0,3.0,,,,
2020-04-02,MX_GRO,0.0,10.0,,0.0,3.0,,,,
