date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-02-27,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-02-28,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-02-29,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-01,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-02,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-03,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-04,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-05,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-06,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-07,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-08,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-09,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-10,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-11,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-12,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-13,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-14,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-15,MX_SON,0.0,0.0,,0.0,0.0,,,,
2020-03-16,MX_SON,1.0,1.0,,0.0,0.0,,,,
2020-03-17,MX_SON,0.0,1.0,,0.0,0.0,,,,
2020-03-18,MX_SON,0.0,1.0,,0.0,0.0,,,,
2020-03-19,MX_SON,0.0,1.0,,0.0,0.0,,,,
2020-03-20,MX_SON,0.0,1.0,,0.0,0.0,,,,
2020-03-21,MX_SON,0.0,1.0,,0.0,0.0,,,,
2020-03-22,MX_SON,0.0,1.0,,0.0,0.0,,,,
2020-03-23,MX_SON,1.0,2.0,,1.0,1.0,,,,
2020-03-24,MX_SON,1.0,3.0,,0.0,1.0,,,,
2020-03-25,MX_SON,1.0,4.0,,0.0,1.0,,,,
2020-03-26,MX_SON,0.0,4.0,,0.0,1.0,,,,
2020-03-27,MX_SON,1.0,5.0,,0.0,1.0,,,,
2020-03-28,MX_SON,3.0,8.0,,0.0,1.0,,,,
2020-03-29,MX_SON,0.0,8.0,,0.0,1.0,,,,
2020-03-30,MX_SON,1.0,9.0,,0.0,1.0,,,,
2020-03-31,MX_SON,2.0,11.0,,1.0,2.0,,,,
2020-04-01,MX_SON,1.0,12.0,,0.0,2.0,,,,
2020-04-02,MX_SON,3.0,15.0,,2.0,4.0,,,,
2020-04-03,MX_SON,0.0,15.0,,0.0,4.0,,,,
2020-04-04,MX_SON,4.0,19.0,,0.0,4.0,,,,
2020-04-05,MX_SON,1.0,20.0,,0.0,4.0,,,,
2020-04-06,MX_SON,4.0,24.0,,0.0,4.0,,,,
2020-04-07,MX_SON,5.0,29.0,,0.0,4.0,,,,
2020-04-08,MX_SON,3.0,32.0,,1.0,5.0,,,,
2020-04-09,MX_SON,5.0,37.0,,1.0,6.0,,,,
2020-04-10,MX_SON,3.0,40.0,,1.0,7.0,,,,
2020-04-11,MX_SON,3.0,43.0,,0.0,7.0,,,,
2020-04-12,MX_SON,3.0,46.0,,0.0,7.0,,,,
2020-04-13,MX_SON,3.0,49.0,,0.0,7.0,,,,
2020-04-14,MX_SON,0.0,49.0,,0.0,7.0,,,,
2020-04-15,MX_SON,5.0,54.0,,0.0,7.0,,,,
2020-04-16,MX_SON,3.0,57.0,,0.0,7.0,,,,
2020-04-17,MX_SON,2.0,59.0,,1.0,8.0,,,,
