date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-02-27,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-02-28,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-02-29,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-01,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-02,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-03,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-04,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-05,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-06,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-07,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-08,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-09,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-10,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-11,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-12,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-13,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-14,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-15,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-16,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-17,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-18,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-19,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-20,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-21,MX_YUC,0.0,0.0,,0.0,0.0,,,,
2020-03-22,MX_YUC,2.0,2.0,,2.0,2.0,,,,
2020-03-23,MX_YUC,0.0,2.0,,0.0,2.0,,,,
2020-03-24,MX_YUC,2.0,4.0,,0.0,2.0,,,,
2020-03-25,MX_YUC,0.0,4.0,,0.0,2.0,,,,
2020-03-26,MX_YUC,0.0,4.0,,0.0,2.0,,,,
2020-03-27,MX_YUC,1.0,5.0,,0.0,2.0,,,,
2020-03-28,MX_YUC,3.0,8.0,,1.0,3.0,,,,
2020-03-29,MX_YUC,1.0,9.0,,0.0,3.0,,,,
2020-03-30,MX_YUC,1.0,10.0,,1.0,4.0,,,,
2020-03-31,MX_YUC,0.0,10.0,,0.0,4.0,,,,
2020-04-01,MX_YUC,4.0,14.0,,3.0,7.0,,,,
2020-04-02,MX_YUC,1.0,15.0,,0.0,7.0,,,,
2020-04-03,MX_YUC,2.0,17.0,,1.0,8.0,,,,
2020-04-04,MX_YUC,0.0,17.0,,0.0,8.0,,,,
2020-04-05,MX_YUC,2.0,19.0,,2.0,10.0,,,,
2020-04-06,MX_YUC,2.0,21.0,,1.0,11.0,,,,
2020-04-07,MX_YUC,4.0,25.0,,2.0,13.0,,,,
2020-04-08,MX_YUC,1.0,26.0,,0.0,13.0,,,,
2020-04-09,MX_YUC,4.0,30.0,,1.0,14.0,,,,
2020-04-10,MX_YUC,3.0,33.0,,0.0,14.0,,,,
2020-04-11,MX_YUC,3.0,36.0,,1.0,15.0,,,,
2020-04-12,MX_YUC,3.0,39.0,,1.0,16.0,,,,
